dateTime,open,high,low,close,volume,RSI21,VWAP,SMA21,EMA21,WMA21,MACD8_21
2021-06-01 09:15:00,15617.05,15620.1,15601.0,15608.0,125100.0,,15609.7,,,,
2021-06-01 09:18:00,15608.0,15619.0,15600.1,15615.6,44925.0,,15610.19,,,,
2021-06-01 09:21:00,15615.6,15642.0,15614.0,15641.15,64575.0,,15616.3,,,,
2021-06-01 09:24:00,15640.25,15654.0,15639.0,15649.0,68700.0,,15623.33,,,,
2021-06-01 09:27:00,15650.0,15654.1,15640.1,15647.4,47250.0,,15626.55,,,,
2021-06-01 09:30:00,15645.05,15651.0,15640.2,15647.1,31575.0,,15628.16,,,,
2021-06-01 09:33:00,15648.0,15659.0,15647.9,15652.7,62100.0,,15631.66,,,,
2021-06-01 09:36:00,15652.7,15654.6,15648.0,15649.0,24750.0,,15632.66,,,,
2021-06-01 09:39:00,15649.0,15660.0,15648.05,15658.75,31650.0,,15634.11,,,,
2021-06-01 09:42:00,15658.2,15659.95,15651.05,15655.95,17325.0,,15634.83,,,,
2021-06-01 09:45:00,15655.95,15655.95,15642.5,15649.25,28350.0,,15635.58,,,,
2021-06-01 09:48:00,15649.5,15649.5,15636.6,15636.6,39075.0,,15635.93,,,,
2021-06-01 09:51:00,15637.0,15643.95,15631.25,15633.2,26325.0,,15635.94,,,,
2021-06-01 09:54:00,15633.25,15638.6,15625.45,15638.6,40725.0,,15635.83,,,,
2021-06-01 09:57:00,15638.6,15638.6,15620.0,15620.0,33675.0,,15635.36,,,,
2021-06-01 10:00:00,15620.0,15638.5,15617.1,15634.4,45975.0,,15635.02,,,,
2021-06-01 10:03:00,15634.4,15634.4,15614.35,15622.9,40350.0,,15634.44,,,,
2021-06-01 10:06:00,15622.9,15634.65,15621.1,15626.05,26775.0,,15634.2,,,,
2021-06-01 10:09:00,15626.05,15626.05,15610.0,15616.65,46350.0,,15633.29,,,,
2021-06-01 10:12:00,15617.0,15625.7,15610.85,15611.85,25275.0,,15632.79,,,,
2021-06-01 10:15:00,15612.0,15613.55,15595.1,15596.55,70575.0,,15630.46,15633.84,15634.14,15629.74,-15.478545713694984
2021-06-01 10:18:00,15596.55,15599.1,15576.9,15581.9,66450.0,33.37,15627.53,15632.6,15630.0,15625.02,-18.859648109208138
2021-06-01 10:21:00,15581.95,15583.95,15561.0,15577.25,73875.0,32.09,15623.88,15630.77,15625.1,15619.99,-21.479929639181137
2021-06-01 10:24:00,15577.8,15591.0,15575.0,15591.0,46725.0,39.28,15622.3,15628.39,15621.34,15616.37,-21.093160425241877
2021-06-01 10:27:00,15594.0,15605.9,15592.0,15602.95,41775.0,44.63,15621.51,15626.19,15619.28,15614.06,-18.824370871443534
2021-06-01 10:30:00,15602.95,15608.25,15591.35,15595.55,37725.0,42.21,15620.79,15623.72,15617.48,15611.27,-17.811603088524862
2021-06-01 10:33:00,15596.6,15614.4,15595.45,15614.4,29625.0,49.53,15620.48,15622.17,15616.37,15610.42,-14.260421765480714
2021-06-01 10:36:00,15614.4,15614.45,15602.3,15604.55,14025.0,46.31,15620.33,15619.87,15615.69,15608.82,-12.7548304912998
2021-06-01 10:39:00,15605.15,15607.75,15585.95,15590.8,34050.0,42.29,15619.66,15617.1,15614.03,15606.18,-13.238153216800129
2021-06-01 10:42:00,15590.8,15592.5,15585.65,15590.3,8100.0,42.15,15619.47,15613.84,15611.83,15603.74,-13.378115684994555
2021-06-01 10:45:00,15591.8,15607.4,15585.95,15606.2,25275.0,47.9,15619.09,15611.47,15610.56,15603.05,-11.118935295135088
2021-06-01 10:48:00,15604.95,15606.0,15596.8,15603.95,9825.0,47.2,15618.97,15609.32,15609.86,15602.36,-9.592364609474316
2021-06-01 10:51:00,15603.95,15604.75,15590.05,15592.6,6525.0,43.82,15618.86,15607.22,15608.77,15600.84,-9.809590092147118
2021-06-01 10:54:00,15591.0,15597.55,15589.5,15595.75,8550.0,44.97,15618.7,15605.44,15607.38,15599.8,-9.351373966923347
2021-06-01 10:57:00,15595.75,15598.75,15590.0,15590.0,9450.0,43.28,15618.52,15603.12,15606.13,15598.4,-9.593516626526252
2021-06-01 11:00:00,15590.4,15603.35,15590.4,15597.8,9375.0,46.17,15618.37,15602.07,15605.16,15597.91,-8.546677767122674
2021-06-01 11:03:00,15597.8,15597.8,15590.65,15594.8,4050.0,45.24,15618.3,15600.18,15604.26,15597.25,-8.027767911642513
2021-06-01 11:06:00,15594.8,15596.0,15580.2,15580.2,11250.0,41.01,15618.03,15598.15,15602.76,15595.44,-9.415856540867026
2021-06-01 11:09:00,15580.2,15587.8,15575.0,15575.5,21675.0,39.75,15617.44,15595.74,15600.66,15593.38,-10.82428574252117
2021-06-01 11:12:00,15575.0,15579.5,15566.2,15576.15,20925.0,40.02,15616.8,15593.81,15598.26,15591.6,-11.516118799396281
2021-06-01 11:15:00,15576.15,15589.95,15568.4,15582.9,22125.0,42.78,15616.24,15592.43,15596.54,15590.61,-10.886281187100394
2021-06-01 11:18:00,15582.9,15582.9,15575.0,15577.75,8025.0,41.26,15616.03,15591.54,15595.0,15589.27,-10.897279215030721
2021-06-01 11:21:00,15577.75,15580.0,15569.5,15579.05,12450.0,41.81,15615.69,15591.4,15593.33,15588.14,-10.514201472858986
2021-06-01 11:24:00,15579.05,15589.9,15577.0,15583.7,15000.0,43.78,15615.36,15591.71,15592.33,15587.44,-9.420324251670536
2021-06-01 11:27:00,15583.7,15592.8,15576.55,15592.8,12450.0,47.44,15615.13,15591.8,15591.8,15587.53,-7.261616635643804
2021-06-01 11:30:00,15592.0,15597.3,15586.05,15587.0,16200.0,45.46,15614.86,15591.04,15591.69,15587.1,-6.350174550863812
2021-06-01 11:33:00,15587.0,15591.25,15581.0,15585.65,6900.0,45.0,15614.73,15590.56,15591.19,15586.61,-5.7547069242355064
2021-06-01 11:36:00,15585.65,15585.65,15572.15,15572.15,10125.0,40.69,15614.48,15588.55,15590.08,15584.93,-6.990139775622083
