dateTime,open,high,low,close,volume
2021-06-01 09:15:00.0,15617.05,15620.1,15601.0,15616.95,125100
2021-06-01 09:16:00.0,15616.2,15620.0,15613.5,15617.05,65925
2021-06-01 09:17:00.0,15617.05,15617.55,15602.25,15608.0,47550
2021-06-01 09:18:00.0,15608.0,15616.9,15600.1,15614.1,44925
2021-06-01 09:19:00.0,15615.7,15615.7,15608.05,15612.0,28200
2021-06-01 09:20:00.0,15612.55,15619.0,15609.85,15615.6,37050
2021-06-01 09:21:00.0,15615.6,15628.0,15614.0,15626.4,44850
2021-06-01 09:22:00.0,15626.0,15637.6,15626.0,15637.6,64575
2021-06-01 09:23:00.0,15637.55,15642.0,15635.35,15641.15,42900
2021-06-01 09:24:00.0,15640.25,15643.8,15639.0,15643.8,56475
2021-06-01 09:25:00.0,15643.9,15652.95,15642.7,15652.9,68700
2021-06-01 09:26:00.0,15652.0,15654.0,15646.0,15649.0,49050
2021-06-01 09:27:00.0,15650.0,15654.1,15648.2,15654.0,47250
2021-06-01 09:28:00.0,15652.0,15654.0,15648.55,15651.0,37125
2021-06-01 09:29:00.0,15650.15,15651.2,15640.1,15647.4,26850
2021-06-01 09:30:00.0,15645.05,15651.0,15642.75,15644.0,31575
2021-06-01 09:31:00.0,15643.05,15649.1,15640.2,15644.05,22875
2021-06-01 09:32:00.0,15644.05,15649.0,15644.05,15647.1,19500
2021-06-01 09:33:00.0,15648.0,15659.0,15647.9,15658.0,62100
2021-06-01 09:34:00.0,15657.75,15658.05,15651.05,15653.8,37500
2021-06-01 09:35:00.0,15652.0,15654.1,15648.0,15652.7,18225
2021-06-01 09:36:00.0,15652.7,15654.6,15648.85,15652.45,24750
2021-06-01 09:37:00.0,15652.45,15654.05,15650.05,15653.05,14400
2021-06-01 09:38:00.0,15653.1,15653.75,15648.0,15649.0,14700
2021-06-01 09:39:00.0,15649.0,15651.0,15648.05,15649.0,18000
2021-06-01 09:40:00.0,15649.0,15655.8,15648.1,15655.8,31650
2021-06-01 09:41:00.0,15655.8,15660.0,15653.3,15658.75,27450
2021-06-01 09:42:00.0,15658.2,15659.95,15654.9,15657.5,9900
2021-06-01 09:43:00.0,15658.0,15658.0,15651.05,15654.2,17325
2021-06-01 09:44:00.0,15654.2,15657.2,15652.35,15655.95,13350
2021-06-01 09:45:00.0,15655.95,15655.95,15653.0,15653.75,13275
2021-06-01 09:46:00.0,15653.75,15655.4,15642.5,15644.85,28350
2021-06-01 09:47:00.0,15643.65,15649.25,15643.65,15649.25,24150
2021-06-01 09:48:00.0,15649.5,15649.5,15640.95,15645.95,39075
2021-06-01 09:49:00.0,15646.8,15646.8,15638.0,15638.6,36825
2021-06-01 09:50:00.0,15639.15,15640.0,15636.6,15636.6,23325
2021-06-01 09:51:00.0,15637.0,15643.95,15636.05,15639.5,22725
2021-06-01 09:52:00.0,15639.5,15642.0,15636.9,15637.0,16500
2021-06-01 09:53:00.0,15637.0,15639.25,15631.25,15633.2,26325
2021-06-01 09:54:00.0,15633.25,15634.5,15625.45,15626.55,40725
2021-06-01 09:55:00.0,15626.4,15637.5,15626.4,15637.45,40500
2021-06-01 09:56:00.0,15637.4,15638.6,15633.5,15638.6,20700
2021-06-01 09:57:00.0,15638.6,15638.6,15632.6,15635.55,19350
2021-06-01 09:58:00.0,15634.95,15635.0,15627.0,15628.2,12600
2021-06-01 09:59:00.0,15628.3,15628.3,15620.0,15620.0,33675
2021-06-01 10:00:00.0,15620.0,15633.45,15617.1,15633.4,45975
2021-06-01 10:01:00.0,15633.4,15638.5,15627.4,15637.6,38475
2021-06-01 10:02:00.0,15637.6,15637.8,15631.6,15634.4,17850
2021-06-01 10:03:00.0,15634.4,15634.4,15624.45,15624.45,12075
2021-06-01 10:04:00.0,15623.35,15623.45,15614.35,15615.65,40350
2021-06-01 10:05:00.0,15615.65,15627.9,15615.0,15622.9,33450
2021-06-01 10:06:00.0,15622.9,15634.65,15622.0,15633.4,23625
2021-06-01 10:07:00.0,15633.0,15633.0,15621.1,15623.85,26775
2021-06-01 10:08:00.0,15625.9,15627.0,15621.8,15626.05,14850
2021-06-01 10:09:00.0,15626.05,15626.05,15626.05,15626.05,19875
2021-06-01 10:10:00.0,15620.65,15622.85,15616.0,15622.65,27975
